word,example
"die Figur, -en",1. Lars hat eine gute Figur. 2. Bei diesem Spiel hat jeder Spieler vier Figuren.
"der Film, -e",Den Film musst du dir unbedingt ansehen.
"finanzieren, finanziert, finanzierte, hat finanziert","Ich weiß nicht, wie ich das Auto finanzieren soll."
finanziell,Finanziell geht es meinem Neffen jetzt besser.
"finden, findet, fand, hat gefunden",1. Meine Tante hat eine gute Arbeit gefunden. 2. Ich kann meinen Schlüssel nicht finden. 3. Luigi finde ich sehr nett.
"der Finger, -",Alessandro hat sich in den Finger geschnitten.
"die Firma, Firmen",Seit wann arbeiten Sie bei dieser Firma?
flach,1. Für die Arbeit brauche ich flache Schuhe. 2. An dieser Stelle ist der See sehr flach.
"die Fläche, -n",Unsere Wohnung hat eine Wohnfläche von 100 m².
"die Flasche, -n",1. Wo kann man die leeren Flaschen zurückgeben? 2. Eine Flasche Bier bitte.
"der Fleck, -en",Du hast einen Fleck auf der Bluse.
das Fleisch,Fleisch mag ich nicht.
"der Fleischhauer, die Fleischhauerin, -nen (A) → Metzger",Dieser Fleischhauer macht sehr gute Wurst.
fleißig,Pamela ist wirklich fleißig. Sie macht immer ihre Hausaufgaben.
flexibel,Meine Arbeitszeit ist flexibel.
"fliegen, fliegt, flog, ist geflogen",1. Der Vogel ist auf einen Baum geflogen. 2. Diese Maschine fliegt direkt nach New York. 3. Ich bin nach Berlin geflogen.
"fliehen, flieht, floh, ist geflohen",Der Einbrecher ist sofort geflohen.
die Flucht,Der Einbrecher war schon auf der Flucht.
"fließen, fließt, floss, ist geflossen",Dieser Fluss fließt in die Nordsee.
fließend,1. Mein Kollege spricht fließend Deutsch. 2. Zimmer mit fließendem Wasser.
"der Flohmarkt, ¨-e",Diesen Hut habe ich am Flohmarkt gekauft.
"die Flöte, -n",Sie spielt sehr schön Flöte.
"der Flug, ¨-e",Ich habe den Flug für Sie gebucht.
"der Flughafen, ¨-",Der Flughafen liegt 30 km außerhalb der Stadt.
"das Flugzeug, -e",Das Flugzeug ist gerade gelandet.
"der Flur, -e → Gang; D, CH: Korridor",Wir warten draußen im Flur.
"der Fluss, ¨-e",Wie heißt dieser Fluss?
"die Flüssigkeit, -en",Dieses Medikament mit viel Flüssigkeit einnehmen.
"folgen, folgt, folgte, ist gefolgt",1. Es folgen die Nachrichten. 2. Folgen Sie der Reiseleiterin.
"die Folge, -n",Die Folgen des Unfalls waren schlimm.
folgend,1. Mehr Informationen auf den folgenden Seiten. 2. Das Geschäft hat folgende Angebote: …
"fordern, fordert, forderte, hat gefordert",Die Arbeitnehmer fordern mehr Geld.
"die Forderung, -en",Alle Forderungen der Arbeitnehmer kann man in dieser E-Mail lesen.
"fördern, fördert, förderte, hat gefördert",Die Stadt fördert viele Sportprojekte.
"die Förderung, -en",Für das Projekt bekommen wir eine Förderung von der Stadt.
"die Form, -en",1. Diese Schuhe haben eine schöne Form. 2. Ich möchte für den Geburtstag einen Kuchen backen. Kannst du mir eine Backform leihen?
"das Formular, -e",Füllen Sie bitte dieses Formular aus.
"die Forschung, -en",Er arbeitet in der Forschung.
"die Fortbildung, -en","Die Fortbildung, die ich machen will, ist sehr teuer."
"der Fortschritt, -e",Ich habe beim Deutschlernen große Fortschritte gemacht.
"fortsetzen, setzt fort, setzte fort, hat fortgesetzt",Wir setzen die Behandlung am nächsten Donnerstag um 11 Uhr fort.
"die Fortsetzung, -en",Fortsetzung folgt.
"das Forum, Foren (Internetforum)",Ich melde mich heute bei diesem Forum an.
"fotografieren, fotografiert, fotografierte, hat fotografiert",Ich fotografiere gern.
"das Foto, -s",Können Sie dieses Foto vergrößern?
"der Fotoapparat, -e",Ich möchte mir einen Fotoapparat kaufen.
"der Fotograf, -en",Die Fotografin hat sehr schöne Fotos gemacht.
"die Fotografie, -n",Ich interessiere mich für Fotografie.
"fragen, fragt, fragte, hat gefragt","1. Darf ich Sie etwas fragen? 2. Hat jemand nach mir gefragt? 3. Ich frage mich, ob das richtig war."
"die Frage, -n",1. Ich habe Ihre Frage leider nicht verstanden. 2. Das kommt gar nicht infrage!
"die Frau, -en","1. In meinem Deutschkurs sind mehr Frauen als Männer. 2. Ist Ihre Frau berufstätig? 3. Guten Tag, Frau Müller!"
frech,Du darfst in der Schule nicht so frech sein.
frei,1. Ist dieser Platz noch frei? 2. Morgen haben wir frei. 3. Eintritt frei. 4. Ich trinke nur alkoholfreies Bier. 5. Dieses Medikament ist rezeptfrei. 6. Die Schüler können die Arbeitszeit frei wählen.
im Freien,Wir wollen heute im Freien übernachten.
die Freiheit,"Wir wollen die Freiheit haben, unsere Meinung sagen zu können."
die Freizeit,In meiner Freizeit höre ich gern Musik.
freiwillig,Manchmal bleibe ich freiwillig länger im Büro.
fremd,1. Ich reise gern in fremde Länder. 2. Ich bin fremd hier.
"fressen, frisst, fraß, hat gefressen",Hat der Hund schon etwas zu fressen bekommen?
"sich freuen, freut sich, freute sich, hat sich gefreut","1. Es freut mich, dass alles so gut geklappt hat. 2. Ich habe mich über Ihr Geschenk sehr gefreut. 3. Ich freue mich schon auf meinen nächsten Urlaub."
die Freude,Diese Arbeit macht mir viel Freude.
"der Freund, -e",Ich sehe meine Freunde nur am Wochenende.
freundlich,1. Er hat uns sehr freundlich begrüßt. 2. Der Mann ist sehr freundlich zu mir. 3. Mit freundlichen Grüßen
"die Freundschaft, -en",Deine Freundschaft ist mir sehr wichtig.
"der Friede, Frieden, -",Endlich ist hier Frieden!
"frieren, friert, fror, hat gefroren","1. Wenn Sie frieren, mache ich das Fenster wieder zu. 2. Heute Nacht hat es gefroren."
frisch,1. Das Brot ist noch ganz frisch. 2. Die Handtücher sind frisch gewaschen. 3. Ich muss mal an die frische Luft.
"der Friseur, -e die Friseurin, -nen (D, A) → CH: Coiffeur",1. Du siehst toll aus! Wer ist dein Friseur? 2. Meine Tochter will Friseurin werden.
"die Frisur, -en",Du hast eine tolle Frisur! Warst du beim Friseur?
"die Frist, -en",Die Frist für die Anmeldung zum Deutschkurs ist abgelaufen.
froh,"1. Ich bin froh, dass alles so gut geklappt hat. 2. Frohes Fest!"
fröhlich,1. Die Musik klingt fröhlich. 2. Sie ist ein fröhlicher Mensch.
"die Frucht, ¨-e",Welche Früchte kann man essen?
"die Früchte (CH) → D, A: Obst",Früchte kaufe ich am liebsten auf dem Markt.
früh,1. Hier ist schon am frühen Morgen starker Verkehr. 2. Mein Vater arbeitet von früh bis spät. 3. Ich bin heute sehr früh aufgestanden. 4. Wir sind eine halbe Stunde zu früh 5. Wecken Sie mich bitte morgen früh um
früher/früher-,1. Früher habe ich in Berlin gewohnt. 2. Wir nehmen den früheren Zug.
"frühstücken, frühstückt, frühstückte, hat gefrühstückt",Haben Sie schon gefrühstückt?
das Frühstück,1. Wir sitzen gerade beim Frühstück. 2. Sollen wir Ihnen das Frühstück aufs Zimmer bringen?
"fühlen, fühlt, fühlte, hat gefühlt","1. Wie fühlen Sie sich? - Danke, ich fühle mich wohl. 2. Fühl mal, ob das Wasser nicht zu heiß ist."
"führen, führt, führte, hat geführt",1. Der Lehrer führt seine Schüler durch das Museum. 2. Frau Meyer führt den Betrieb schon seit zehn Jahren. 3. Nach 20 Minuten führte unsere Mannschaft 2 : 0. 4. Die Straße führt direkt zum Bahnhof.
"der Führerausweis, -e (CH)","Hast du einen Führerausweis? → D, A: Führerschein"
"der Führerschein, -e (D, A) → CH: Führerausweis",1. Hast du einen Führerschein? 2. Ich habe vor einem halben Jahr den Führerschein gemacht.
"die Führung, -en",1. Die nächste Führung beginnt um 15 Uhr. 2. Bayern München liegt in Führung.
"das Fundbüro, -s",Sie haben Ihren Schirm verloren. Da fragen Sie am besten im Fundbüro.
"funktionieren, funktioniert, funktionierte, hat funktioniert","1. Können Sie mir bitte mal zeigen, wie der Automat funktioniert? 2. Unsere Ehe funktioniert nicht mehr."
für,1. Ist Post für mich da? 2. Ich habe die Schlüssel für meine Wohnung verloren. 3. Gibt es hier einen Sportverein für Jugendliche? 4. Diese alten Möbel haben wir für 100 Euro bekommen. 5. Für einen Anfänger spielt er schon sehr gut Klavier. 6. Du kannst nicht einkaufen gehen? Ich kann es für dich machen. 7. Für mich ist das ein schwerer Fehler. 8. Wir haben die Wohnung für ein Jahr gemietet.
furchtbar,1. Dennis hat furchtbare Schmerzen. 2. Das war mir furchtbar unangenehm.
"(sich) fürchten, fürchtet, fürchtete, hat gefürchtet",Sie fürchtet sich vor Schlangen.
"der Fuß, ¨-e",1. Er hat sich den linken Fuß gebrochen. 2. Sind Sie zu Fuß gekommen?
"der Fußball, ¨-e",1. Spielt ihr gerne Fußball? 2. Jonas wünscht sich zu Weihnachten einen neuen Fußball.
"der Fußgänger, -","Dieser Weg ist nur für Fußgänger. die Fußgängerin, -nen"
"die Fußgängerzone, -n",Wir treffen uns um 15 Uhr in der Fußgängerzone.
"füttern, füttert, fütterte, hat gefüttert","Es ist im Zoo nicht erlaubt, die Tiere zu füttern."
"die Gabel, -n",Wir brauchen bitte noch eine Gabel.
"die Galerie, -n",Diese Galerie ist sehr interessant.
"der Gang, ¨-e","1. Wir warten draußen im Gang. ( → D, CH: Korridor; D: Flur) 2. Schalten Sie bitte jetzt in den dritten Gang. 3. Was möchten Sie als ersten Gang? Suppe oder Salat?"
ganz,1. Ich habe den ganzen Tag noch nichts gegessen. 2. Den Zahnarzttermin habe ich ganz vergessen. 3. Ich finde Janis ganz nett. 4. Am Montag ist hier Ruhetag. Das weiß ich ganz sicher. 5. Gott sei Dank ist meine Brille noch ganz.
gar,1. Die Kartoffeln sind noch nicht gar. 2. Du räumst nie dein Zimmer auf. – Das ist gar nicht wahr.
"die Garage, -n",Hier ist eine Garage zu vermieten.
"garantieren, garantiert, garantierte, hat garantiert","Ich kann Ihnen nicht garantieren, dass das Gerät nächste Woche fertig ist."
die Garantie,Auf die Waschmaschine haben Sie ein Jahr Garantie.
"die Garderobe, -n","1. Die Mäntel bitte an der Garderobe abgeben. 2. Bitte, achten Sie auf Ihre Garderobe."
"der Garten, ¨-",Wir haben einen schönen großen Garten.
das Gas,1. Wir kochen mit Gas. 2. Gib Gas! Die Ampel ist grün.
"der Gast, ¨-e",1. Wir haben heute Abend Gäste. 2. Der Gast hat sich über das Essen beschwert.
"das Gasthaus, ¨-er (A)",Gehen wir noch in ein Gasthaus ein Bier trinken?
"die Gaststätte, -n (D)",Ich arbeite seit einem Monat in einer Gaststätte.
"das Gebäude, -",In diesem Gebäude sind nur Büros.
"geben, gibt, gab, hat gegeben",1. Geben Sie mir bitte eine Quittung! 2. Können Sie mir etwas zum Schreiben geben? 3. Der Arzt hat mir eine Spritze gegeben. 4. Was gibt es im Fernsehen? 5. Es gibt bald Regen.
das Gebäck,Das Gebäck ist ganz frisch.
"das Gebiet, -e",1. In diesem Gebiet gibt es kaum Industrie. 2. Die Zeitschrift berichtet regelmäßig über Fortschritte auf dem Gebiet der Medizin.
das Gebirge,Wir haben unseren Urlaub im Gebirge verbracht.
"geboren werden, wird geboren, wurde geboren, ist geboren worden",Wann und wo sind Sie geboren?
"gebrauchen, gebraucht, gebrauchte, hat gebraucht",1. Wir können diese Möbel gut gebrauchen. 2. Ich habe den Wagen gebraucht gekauft. 3. Ich suche eine gebrauchte Waschmaschine.
"die Gebrauchsanweisung, -en",Lesen Sie bitte zuerst die Gebrauchsanweisung.
"die Gebühr, -en",Die Gebühr liegt bei 60 Euro.
"die Geburt, -en",Wir gratulieren zur Geburt eures Kindes!
"der Geburtstag, -e",Herzlichen Glückwunsch zum Geburtstag!
"das Gedicht, -e",Kennst du ein schönes Gedicht?
die Geduld,Bitte haben Sie etwas Geduld.
geehrt,"Sehr geehrte Damen und Herren, …"
geeignet,Dieses Spiel ist nicht für Kinder unter drei Jahren geeignet.
"die Gefahr, -en",Betreten der Baustelle auf eigene Gefahr.
gefährlich,"1. Achtung, hier ist eine gefährliche Kurve! 2. Du darfst nicht bei Rot über die Straße gehen. Das ist gefährlich."
"gefallen, gefällt, gefiel, hat gefallen",1. Wie gefällt es Ihnen hier? 2. Der Pullover gefällt mir gut.
"sich etwas gefallen lassen, lässt sich etwas gefallen, ließ sich etwas gefallen, hat sich etwas gefallen lassen",Das würde ich mir nicht gefallen lassen.
"das Gefängnis, -se",Er wurde zu fünf Jahren Gefängnis verurteilt.
"das Gefühl, -e","Ich glaube, ich schaffe die Prüfung. Ich habe ein gutes Gefühl."
gegen,1. Ich bin gegen einen Baum gefahren. 2. Das ist gegen die Vorschrift. 3. Haben Sie ein Mittel gegen Grippe? 4. Wir liefern nur gegen bar. 5. Ich bin gegen 14 Uhr wieder da. 6. Ich bin gegen diesen Vorschlag. 7. Wer spielt gegen wen?
"der Gegner, -",1. Sie ist eine Gegnerin von Tierversuchen. 2. Die Mannschaft aus Frankreich war ein sehr starker Gegner.
"die Gegend, -en",1. Der Schwarzwald ist eine sehr schöne Gegend. 2. Die Schule muss hier in der Gegend sein.
"der Gegensatz, ¨-e",1. Diese beiden Meinungen stehen in starkem Gegensatz zueinander. 2. Im Gegensatz zu ihm ist sein Vater ziemlich klein.
"der Gegenstand, ¨-e",1. Ich schließe meine persönlichen Gegenstände im Schwimmbad lieber in ein Fach ein. 2. Eine Durchsage der Polizei: Auf der A8 liegen Gegenstände auf der Fahrbahn.
"das Gegenteil, -e","1. Das Gegenteil von „klein“ ist „groß“. 2. Sie ist das genaue Gegenteil von ihrem Bruder. 3. Du bist sicher müde. – Nein, ganz im Gegenteil!"
gegenüber,1. Das Geschäft liegt direkt gegenüber der Post. 2. Dem Gast gegenüber ist das Rauchen nicht höflich. 3. Das Café liegt gegenüber vom Bahnhof.
"das Gehalt, ¨-er",Ich bin mit meinem Gehalt zufrieden.
"das Geheimnis, -se",Das kann ich dir nicht sagen. Das ist ein Geheimnis.
geheim,Das ist geheim. Du darfst es niemandem sagen.
"gehen, geht, ging, ist gegangen","1. Ich gehe jeden Morgen zu Fuß zur Arbeit. 2. Meine Tochter geht noch aufs Gymnasium. 3. Ich muss jetzt leider gehen. 4. Ein Freund von mir geht ins Ausland. 5. Der nächste Zug geht erst in zwei Stunden. 6. Am Anfang ging alles ganz gut. 7. Geht Ihre Uhr richtig? 8. Geht das bis morgen? – Nein, das geht nicht. Ich brauche mehr Zeit. 9. Der Mantel geht nicht mehr in den Koffer. 10. Das Fenster geht auf die Straße. 11. Geht es hier zum Zentrum? 12. Wie geht es Ihnen heute? 13. Ist das sehr teuer? – Es geht. 14. Um was geht es denn? 15. Warum geht das Licht nicht? 16. Ich weiß nicht, wie das geht."
"gehören, gehört, gehörte, hat gehört",Gehört Ihnen das Haus?
"der Gehsteig (D, A) → CH: Trottoir",Das Fahrradfahren auf dem Gehsteig ist nicht erlaubt.
das Geld,1. Ich habe nicht genug Geld dabei. 2. Sie haben mir zu viel Wechselgeld gegeben.
"der Geldautomat, -en (D)","Ich hole noch Geld vom Geldautomaten. → A, CH: Bancomat/Bankomat"
"die Geldbörse, -n (A) → Brieftasche; D, CH: Portemonnaie/Portmonee",Ich habe nur Kleingeld in meiner Geldbörse.
"die Gelegenheit, -en","Das Fest ist eine gute Gelegenheit, unsere Freunde zu sehen."
"gelingen, gelingt, gelang, ist gelungen","Es ist mir gelungen, meinen Chef zu überzeugen."
"gelten, gilt, galt, hat gegolten",1. Mein Pass gilt noch ein Jahr. 2. Bitte diesen Zettel gut aufheben: Er gilt als Garantie.
gemeinsam,1. Du musst die Wohnung renovieren? Ich helfe dir. Wir können das gemeinsam machen. 2. Wir benutzen die Garage gemeinsam mit dem Nachbarn.
"die Gemeinschaft, -en",Rauchen ist in den Gemeinschafts-räumen nicht erlaubt.
das Gemüse,Wir kaufen das Gemüse direkt beim Bauern.
gemütlich,1. Wir haben eine sehr gemütliche Wohnung. 2. Es ist sehr gemütlich bei dir.
genau,"1. Haben Sie die genaue Zeit? 2. Sind Sie sicher, dass heute Ruhetag ist? – Ja, das weiß ich genau. 3. Die Uhr geht genau. 4. Es ist genau acht Uhr."
genauso,Katarina sieht genauso aus wie ihre Schwester.
"genehmigen, genehmigt, genehmigte, hat genehmigt",Mein Chef hat mir sechs Wochen Urlaub genehmigt.
"die Generation, -en",In diesem Haus wohnen drei Generationen zusammen.
"genießen, genießt, genoss, hat genossen","1. Er kann das Essen leider nicht genießen, weil es zu scharf ist. 2. Sie hat eine gute Ausbildung genossen."
genug,1. Es ist noch genug Suppe da. 2. Ich habe jetzt lange genug gewartet. 3. Ich verdiene nicht genug.
"genügen, genügt, genügte, hat genügt",Wie viele Zimmer brauchen Sie? – Mir genügt eine 2-Zimmer-Wohnung.
das Gepäck,Ich habe mein Gepäck am Bahnhof gelassen.
gerade,1. Das Bild hängt nicht gerade. 2. Kannst du später noch mal anrufen? Wir sind gerade beim Essen.
geradeaus,Fahren Sie geradeaus bis zur nächsten Kreuzung.
"das Gerät, -e",Ich kaufe meine Elektrogeräte immer gebraucht. Das ist viel billiger.
gerecht,Lass uns den Kuchen gerecht verteilen.
"das Gericht, -e",1. Ich habe heute Vormittag einen Termin beim Gericht. 2. Mein Lieblingsgericht ist Pizza.
gering,"1. Unsere Mannschaft hatte nur eine geringe Chance. 2. Wenn Sie ein geringes Einkommen haben, zahlen Sie nur wenig Steuern."
gern/gerne,1. Ich helfe Ihnen gern. 2. Kaffee oder Tee? – Ich möchte lieber einen Tee. 3. Am liebsten trinke ich Kaffee.
gesamt-/Gesamt-,"1. Ich habe meine gesamten Bücher verschenkt. 2. z. B. Gesamtgewicht, Gesamtsumme"
"das Geschäft, -e","1. Die Geschäfte schließen um 18.30 Uhr. 2. Wissen Sie, wo hier ein Schuhgeschäft ist?"
"geschehen, geschieht, geschah, ist geschehen",Vielen Dank für Ihre Hilfe. – Gern geschehen.
"das Geschenk, -e",Vielen Dank für das Geschenk.
"die Geschichte, -n",1. Ich interessiere mich nicht für Geschichte. 2. Abends erzähle ich meinen Kindern immer eine Geschichte.
geschieden,Ich bin seit drei Jahren geschieden.
das Geschirr,Für die Geburtstagsfeier brauche ich Geschirr für zwölf Personen.
"das Geschlecht, -er",Bitte kreuzen Sie an: „Geschlecht: weiblich/männlich“.
der Geschmack,Ich möchte bitte Kaugummi mit Erdbeergeschmack.
"die Geschwindigkeit, -en",Das Auto fuhr mit zu hoher Geschwindigkeit.
"die Geschwindigkeitsbeschränkung, -en",Bitte beachten Sie die Geschwindigkeitsbeschränkungen.
die Geschwister (Pl.),Die Geschwister sehen sich nur selten.
"die Gesellschaft, -en",1. Er will die Gesellschaft verändern. 2. Meine Frau arbeitet bei einer Versicherungsgesellschaft. 3. Ich fühle mich in großer Gesellschaft wohl.
"das Gesetz, -e",Das Parlament hat ein neues Gesetz beschlossen.
"das Gesicht, -er",1. Wasch dir bitte das Gesicht. 2. Mach doch kein so trauriges Gesicht!
gespannt,"Ich bin gespannt, wer bei diesem Spiel gewinnt."
"das Gespräch, -e",1. Herr Müller ist gerade in einem Gespräch. 2. Ich erwarte ein Gespräch aus Berlin.
gestern,Ich bin erst gestern zurückgekommen.
gesund,1. Ich hatte Grippe. Jetzt bin ich wieder gesund. 2. Zu viel Zucker ist nicht gesund.
die Gesundheit,1. Sie müssen mehr auf Ihre Gesundheit achten. 2. Gesundheit! Sind Sie erkältet?
"das Getränk, -e",1. Besorgst du bitte die Getränke? 2. Bitte die Getränkekarte! 3. Mein Lieblingsgetränk ist Tomatensaft.
